t_s,stage,q_rad,dq_rad_s,tau_Nm,q_ref_rad,dq_ref_rad_s
0.000902,to_zero_prehold,2.906708717,0.098174997,0.000000000,2.906708717,0.000000000
0.005784,to_zero_prehold,2.906708717,0.098174997,0.000000000,2.906708717,0.000000000
0.010752,to_zero_prehold,2.906325102,-0.466331244,-0.003906250,2.906708717,0.000000000
0.015741,to_zero_prehold,2.906708717,0.122718751,0.000000000,2.906708717,0.000000000
0.020739,to_zero_prehold,2.906516790,-0.319068760,0.000000000,2.906708717,0.000000000
0.025774,to_zero_prehold,2.906708717,0.147262499,0.000000000,2.906708717,0.000000000
0.030738,to_zero_prehold,2.906708717,0.147262499,0.000000000,2.906708717,0.000000000
0.035744,to_zero_prehold,2.906516790,-0.269981235,-0.003906250,2.906708717,0.000000000
0.040743,to_zero_prehold,2.906708717,0.147262499,-0.003906250,2.906708717,0.000000000
0.045745,to_zero_prehold,2.906708717,0.466331244,0.000000000,2.906708717,0.000000000
0.050769,to_zero_prehold,2.906900406,0.441787511,-0.003906250,2.906708717,0.000000000
0.055746,to_zero_prehold,2.906708717,-0.220893756,0.003906250,2.906708717,0.000000000
0.060742,to_zero_prehold,2.906516790,-0.319068760,-0.003906250,2.906708717,0.000000000
0.065756,to_zero_prehold,2.906708717,0.122718751,0.003906250,2.906708717,0.000000000
0.070741,to_zero_prehold,2.906516790,-0.245437503,0.000000000,2.906708717,0.000000000
0.075858,to_zero_prehold,2.906516790,-0.269981235,0.000000000,2.906708717,0.000000000
0.080747,to_zero_prehold,2.906516790,-0.245437503,0.000000000,2.906708717,0.000000000
0.085762,to_zero_prehold,2.906516790,-0.245437503,0.000000000,2.906708717,0.000000000
0.090744,to_zero_prehold,2.906516790,-0.245437503,0.003906250,2.906708717,0.000000000
0.095732,to_zero_prehold,2.906708717,0.122718751,-0.003906250,2.906708717,0.000000000
0.100736,to_zero_prehold,2.906516790,-0.269981235,-0.003906250,2.906708717,0.000000000
0.105749,to_zero_prehold,2.906516790,-0.220893756,0.000000000,2.906708717,0.000000000
0.110737,to_zero_prehold,2.906708717,0.024543749,-0.003906250,2.906708717,0.000000000
0.115746,to_zero_prehold,2.906708717,0.073631249,0.000000000,2.906708717,0.000000000
0.120746,to_zero_prehold,2.906516790,-0.196349993,-0.003906250,2.906708717,0.000000000
0.125756,to_zero_prehold,2.906516790,-0.122718751,0.003906250,2.906708717,0.000000000
0.130746,to_zero_prehold,2.906516790,-0.245437503,0.000000000,2.906708717,0.000000000
0.135749,to_zero_prehold,2.906516790,-0.245437503,0.000000000,2.906708717,0.000000000
0.140747,to_zero_prehold,2.906516790,-0.171806246,0.000000000,2.906708717,0.000000000
0.145746,to_zero_prehold,2.906516790,-0.269981235,0.000000000,2.906708717,0.000000000
0.150745,to_zero_prehold,2.906516790,-0.294524997,0.000000000,2.906708717,0.000000000
0.155745,to_zero_prehold,2.906516790,-0.269981235,0.000000000,2.906708717,0.000000000
0.160808,to_zero_prehold,2.906708717,0.122718751,0.003906250,2.906708717,0.000000000
0.165743,to_zero_prehold,2.906708717,0.147262499,0.000000000,2.906708717,0.000000000
0.170736,to_zero_prehold,2.906516790,-0.294524997,0.000000000,2.906708717,0.000000000
0.175781,to_zero_prehold,2.906516790,-0.245437503,-0.003906250,2.906708717,0.000000000
0.180717,to_zero_prehold,2.906708717,0.098174997,0.000000000,2.906708717,0.000000000
0.185719,to_zero_prehold,2.906516790,-0.220893756,0.000000000,2.906708717,0.000000000
0.190718,to_zero_prehold,2.906516790,-0.245437503,0.000000000,2.906708717,0.000000000
0.195731,to_zero_prehold,2.906708717,0.171806246,0.000000000,2.906708717,0.000000000
0.200722,to_zero_prehold,2.906516790,-0.269981235,-0.003906250,2.906708717,0.000000000
0.205875,to_zero_prehold,2.906516790,-0.245437503,-0.003906250,2.906708717,0.000000000
0.210827,to_zero_prehold,2.906708717,0.196349993,0.000000000,2.906708717,0.000000000
0.215729,to_zero_prehold,2.906708717,0.122718751,0.000000000,2.906708717,0.000000000
0.221737,to_zero_prehold,2.906708717,0.122718751,0.000000000,2.906708717,0.000000000
0.225756,to_zero_prehold,2.906516790,-0.196349993,0.000000000,2.906708717,0.000000000
0.230719,to_zero_prehold,2.906516790,-0.245437503,0.000000000,2.906708717,0.000000000
0.235715,to_zero_prehold,2.906708717,0.073631249,0.000000000,2.906708717,0.000000000
0.240714,to_zero_prehold,2.906708717,0.049087498,0.000000000,2.906708717,0.000000000
0.245715,to_zero_prehold,2.906325102,-0.589049995,0.000000000,2.906708717,0.000000000
0.250720,to_zero_prehold,2.906516790,-0.245437503,-0.003906250,2.906708717,0.000000000
0.255714,to_zero_prehold,2.906516790,-0.245437503,0.000000000,2.906708717,0.000000000
0.260713,to_zero_prehold,2.906708717,0.122718751,0.000000000,2.906708717,0.000000000
0.265770,to_zero_prehold,2.906516790,-0.171806246,-0.003906250,2.906708717,0.000000000
0.270720,to_zero_prehold,2.906516790,-0.245437503,0.000000000,2.906708717,0.000000000
0.275780,to_zero_prehold,2.906516790,-0.245437503,0.003906250,2.906708717,0.000000000
0.280740,to_zero_prehold,2.906708717,0.147262499,0.000000000,2.906708717,0.000000000
0.285725,to_zero_prehold,2.906516790,-0.245437503,0.000000000,2.906708717,0.000000000
0.290723,to_zero_prehold,2.906516790,-0.220893756,0.000000000,2.906708717,0.000000000
0.295717,to_zero_prehold,2.906516790,-0.171806246,0.000000000,2.906708717,0.000000000
0.300717,to_zero_prehold,2.906708717,0.122718751,0.003906250,2.906708717,0.000000000
0.305814,to_zero_prehold,2.906516790,-0.294524997,-0.003906250,2.906708717,0.000000000
0.310727,to_zero_prehold,2.906516790,-0.245437503,0.000000000,2.906708717,0.000000000
0.315724,to_zero_prehold,2.906325102,-0.515418768,0.000000000,2.906708717,0.000000000
0.320792,to_zero_prehold,2.906516790,-0.171806246,0.000000000,2.906708717,0.000000000
0.325744,to_zero_prehold,2.906516790,-0.294524997,0.000000000,2.906708717,0.000000000
0.330802,to_zero_prehold,2.906516790,-0.269981235,0.000000000,2.906708717,0.000000000
0.336021,to_zero_prehold,2.906516790,-0.220893756,0.000000000,2.906708717,0.000000000
0.340728,to_zero_prehold,2.906516790,-0.245437503,0.003906250,2.906708717,0.000000000
0.345739,to_zero_prehold,2.906516790,-0.319068760,0.000000000,2.906708717,0.000000000
0.350727,to_zero_prehold,2.906325102,-0.245437503,0.000000000,2.906708717,0.000000000
0.355819,to_zero_prehold,2.906516790,-0.245437503,0.000000000,2.906708717,0.000000000
0.360837,to_zero_prehold,2.906708717,0.122718751,0.000000000,2.906708717,0.000000000
0.365734,to_zero_prehold,2.906516790,-0.245437503,0.000000000,2.906708717,0.000000000
0.370801,to_zero_prehold,2.906516790,0.122718751,-0.003906250,2.906708717,0.000000000
0.375987,to_zero_prehold,2.906708717,-0.245437503,0.000000000,2.906708717,0.000000000
0.380884,to_zero_prehold,2.906516790,-0.245437503,0.000000000,2.906708717,0.000000000
0.385706,to_zero_prehold,2.906708717,0.073631249,0.000000000,2.906708717,0.000000000
0.390693,to_zero_prehold,2.906516790,-0.245437503,0.000000000,2.906708717,0.000000000
0.395741,to_zero_prehold,2.906516790,-0.196349993,0.000000000,2.906708717,0.000000000
0.400695,to_zero_prehold,2.906516790,-0.245437503,0.000000000,2.906708717,0.000000000
0.405698,to_zero_prehold,2.906325102,-0.589049995,0.000000000,2.906708717,0.000000000
0.410695,to_zero_prehold,2.906516790,-0.196349993,0.003906250,2.906708717,0.000000000
0.415714,to_zero_prehold,2.906516790,-0.220893756,-0.003906250,2.906708717,0.000000000
0.420694,to_zero_prehold,2.906516790,-0.269981235,0.003906250,2.906708717,0.000000000
0.425694,to_zero_prehold,2.906708717,0.122718751,-0.003906250,2.906708717,0.000000000
0.430696,to_zero_prehold,2.906708717,0.073631249,0.000000000,2.906708717,0.000000000
0.436231,to_zero_prehold,2.906325102,-0.564506233,0.000000000,2.906708717,0.000000000
0.440695,to_zero_prehold,2.906516790,-0.343612492,-0.003906250,2.906708717,0.000000000
0.445759,to_zero_prehold,2.906516790,-0.245437503,0.000000000,2.906708717,0.000000000
0.450697,to_zero_prehold,2.906708717,0.122718751,-0.007812500,2.906708717,0.000000000
0.455696,to_zero_prehold,2.906708717,0.122718751,-0.003906250,2.906708717,0.000000000
0.460695,to_zero_prehold,2.906516790,-0.343612492,-0.003906250,2.906708717,0.000000000
0.465737,to_zero_prehold,2.906708717,0.147262499,0.000000000,2.906708717,0.000000000
0.470695,to_zero_prehold,2.906516790,-0.220893756,0.000000000,2.906708717,0.000000000
0.475698,to_zero_prehold,2.906516790,-0.319068760,0.000000000,2.906708717,0.000000000
0.480699,to_zero_prehold,2.906516790,-0.319068760,0.000000000,2.906708717,0.000000000
0.485790,to_zero_prehold,2.906708717,0.122718751,-0.003906250,2.906708717,0.000000000
0.490695,to_zero_prehold,2.906708717,0.147262499,0.000000000,2.906708717,0.000000000
0.495694,to_zero_prehold,2.906516790,-0.245437503,0.000000000,2.906708717,0.000000000
0.500700,to_zero_prehold,2.906708717,0.098174997,-0.003906250,2.906708717,0.000000000
0.505764,to_zero_prehold,2.906708717,0.073631249,-0.003906250,2.906708717,0.000000000
0.510712,to_zero_prehold,2.906516790,-0.245437503,0.000000000,2.906708717,0.000000000
0.515726,to_zero_prehold,2.906516790,-0.196349993,0.000000000,2.906708717,0.000000000
0.520704,to_zero_prehold,2.906516790,-0.294524997,0.000000000,2.906708717,0.000000000
0.525703,to_zero_prehold,2.906325102,-0.589049995,-0.003906250,2.906708717,0.000000000
0.530702,to_zero_prehold,2.906516790,-0.245437503,0.000000000,2.906708717,0.000000000
0.535694,to_zero_prehold,2.906516790,-0.269981235,-0.003906250,2.906708717,0.000000000
0.540695,to_zero_prehold,2.906708717,0.147262499,0.000000000,2.906708717,0.000000000
0.545696,to_zero_prehold,2.906708717,0.122718751,0.000000000,2.906708717,0.000000000
0.550716,to_zero_prehold,2.906516790,-0.269981235,0.003906250,2.906708717,0.000000000
0.555706,to_zero_prehold,2.906516790,-0.098174997,0.000000000,2.906708717,0.000000000
0.560711,to_zero_prehold,2.906708717,0.000000000,-0.003906250,2.906708717,0.000000000
0.565709,to_zero_prehold,2.906708717,0.147262499,0.000000000,2.906708717,0.000000000
0.570736,to_zero_prehold,2.906708717,0.098174997,-0.003906250,2.906708717,0.000000000
0.575696,to_zero_prehold,2.906516790,-0.171806246,0.003906250,2.906708717,0.000000000
0.580742,to_zero_prehold,2.906708717,0.073631249,0.000000000,2.906708717,0.000000000
0.585693,to_zero_prehold,2.906708717,0.073631249,0.000000000,2.906708717,0.000000000
0.590675,to_zero_prehold,2.906516790,-0.220893756,0.000000000,2.906708717,0.000000000
0.595735,to_zero_prehold,2.906516790,-0.319068760,-0.003906250,2.906708717,0.000000000
0.600679,to_zero_prehold,2.906900406,0.000000000,0.000000000,2.906708717,0.000000000
0.605671,to_zero_prehold,2.906516790,-0.269981235,0.000000000,2.906708717,0.000000000
0.610690,to_zero_prehold,2.906708717,0.073631249,0.000000000,2.906708717,0.000000000
0.615676,to_zero_prehold,2.906708717,0.147262499,0.000000000,2.906708717,0.000000000
0.620674,to_zero_prehold,2.906516790,-0.196349993,0.003906250,2.906708717,0.000000000
0.625716,to_zero_prehold,2.906708717,0.073631249,0.000000000,2.906708717,0.000000000
0.630677,to_zero_prehold,2.906325102,-0.613593757,0.000000000,2.906708717,0.000000000
0.635681,to_zero_prehold,2.906708717,0.098174997,0.003906250,2.906708717,0.000000000
0.640678,to_zero_prehold,2.906516790,-0.245437503,0.000000000,2.906708717,0.000000000
0.646698,to_zero_prehold,2.906708717,0.073631249,0.000000000,2.906708717,0.000000000
0.650673,to_zero_prehold,2.906708717,0.073631249,0.000000000,2.906708717,0.000000000
0.655673,to_zero_prehold,2.906708717,0.122718751,0.000000000,2.906708717,0.000000000
0.660842,to_zero_prehold,2.906900406,0.417243749,0.000000000,2.906708717,0.000000000
0.665842,to_zero_prehold,2.906325102,-0.539962471,0.000000000,2.906708717,0.000000000
0.670844,to_zero_prehold,2.906516790,-0.269981235,0.000000000,2.906708717,0.000000000
0.675784,to_zero_prehold,2.906516790,-0.196349993,0.000000000,2.906708717,0.000000000
0.680702,to_zero_prehold,2.906708717,0.049087498,0.000000000,2.906708717,0.000000000
0.685693,to_zero_prehold,2.906516790,-0.220893756,0.000000000,2.906708717,0.000000000
0.690684,to_zero_prehold,2.906516790,-0.196349993,0.003906250,2.906708717,0.000000000
0.695757,to_zero_prehold,2.906325102,-0.613593757,0.000000000,2.906708717,0.000000000
0.700675,to_zero_prehold,2.906708717,0.196349993,0.003906250,2.906708717,0.000000000
0.705757,to_zero_prehold,2.906516790,-0.245437503,0.000000000,2.906708717,0.000000000
