t_s,stage,q_rad,dq_rad_s,tau_Nm,q_ref_rad,dq_ref_rad_s,dq_filt_rad_s
0.000902,to_zero_prehold,2.906708717,0.098174997,0.000000000,2.906708717,0.000000000,0.03430076056
0.005784,to_zero_prehold,2.906708717,0.098174997,0.000000000,2.906708717,0.000000000,-0.005824579154
0.010752,to_zero_prehold,2.906325102,-0.466331244,-0.003906250,2.906708717,0.000000000,-0.07115637107
0.015741,to_zero_prehold,2.906708717,0.122718751,0.000000000,2.906708717,0.000000000,-0.04070934433
0.020739,to_zero_prehold,2.906516790,-0.319068760,0.000000000,2.906708717,0.000000000,-0.0498725028
0.025774,to_zero_prehold,2.906708717,0.147262499,0.000000000,2.906708717,0.000000000,0.006209629518
0.030738,to_zero_prehold,2.906708717,0.147262499,0.000000000,2.906708717,0.000000000,0.02810467625
0.035744,to_zero_prehold,2.906516790,-0.269981235,-0.003906250,2.906708717,0.000000000,0.02111935563
0.040743,to_zero_prehold,2.906708717,0.147262499,-0.003906250,2.906708717,0.000000000,0.08468829488
0.045745,to_zero_prehold,2.906708717,0.466331244,0.000000000,2.906708717,0.000000000,0.1330910792
0.050769,to_zero_prehold,2.906900406,0.441787511,-0.003906250,2.906708717,0.000000000,0.1007262047
0.055746,to_zero_prehold,2.906708717,-0.220893756,0.003906250,2.906708717,0.000000000,-0.01430194434
0.060742,to_zero_prehold,2.906516790,-0.319068760,-0.003906250,2.906708717,0.000000000,-0.07925828714
0.065756,to_zero_prehold,2.906708717,0.122718751,0.003906250,2.906708717,0.000000000,-0.08609159286
0.070741,to_zero_prehold,2.906516790,-0.245437503,0.000000000,2.906708717,0.000000000,-0.1435344121
0.075858,to_zero_prehold,2.906516790,-0.269981235,0.000000000,2.906708717,0.000000000,-0.1762789057
0.080747,to_zero_prehold,2.906516790,-0.245437503,0.000000000,2.906708717,0.000000000,-0.1863126983
0.085762,to_zero_prehold,2.906516790,-0.245437503,0.000000000,2.906708717,0.000000000,-0.1820163693
0.090744,to_zero_prehold,2.906516790,-0.245437503,0.003906250,2.906708717,0.000000000,-0.1623486145
0.095732,to_zero_prehold,2.906708717,0.122718751,-0.003906250,2.906708717,0.000000000,-0.122542546
0.100736,to_zero_prehold,2.906516790,-0.269981235,-0.003906250,2.906708717,0.000000000,-0.1421806347
